CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerschoolID
710,1,3301,"8-9(A,C,E,G)",137
714,2,3302,"8-9(A,C,E,G)",137
Senior HR,6,3300,1(A-H),137
345,2,3300,"12-13(A,C,E,G)",138
1175,1,3302,2-3(C),138
1176,1,3301,2-3(C),138
110,2,3300,"4-5(A,C,E,G)",138
412,4,3300,"8-9(B,D,F,H)",138
558,1,3301,"8-9(A,C,E,G)",138
860,2,3302,"8-9(A,C,E,G)",138
922,1,3301,"6-7(B,D,F,H)",138
982,22,3301,"5(B,D,F,H)",138
984,31,3302,"6(B,D,F,H)",138
264,1,3300,"6-7(A,C,E,G)",138
520,4,3300,"10-11(B,D,F,H)",138
729,3,3300,"2-3(B,D,F,H)",138
981,52,3301,"11(A,C,E,G)",138
983,52,3302,"11(A,C,E,G)",138
Senior HR,6,3300,1(A-H),138
264,1,3300,"6-7(A,C,E,G)",143
412,1,3300,"2-3(A,C,E,G)",143
727,3,3302,"8-9(B,D,F,H)",143
852,1,3300,"6-7(B,D,F,H)",143
110,7,3300,"2-3(B,D,F,H)",143
984,52,3302,"11(B,D,F,H)",143
1175,3,3302,4-5(E),143
1176,4,3301,4-5(F),143
340,5,3300,"12-13(A,C,E,G)",143
540,4,3300,"12-13(B,D,F,H)",143
714,2,3302,"8-9(A,C,E,G)",143
922,3,3301,"10-11(A,C,E,G)",143
981,41,3301,"8(A,C,E,G)",143
982,42,3301,"9(B,D,F,H)",143
983,52,3302,"11(A,C,E,G)",143
Senior HR,6,3300,1(A-H),143
223,1,3300,"2-3(A,C,E,G)",144
408,4,3300,"12-13(A,C,E,G)",144
645,2,3302,"4-5(B,D,F,H)",144
727,1,3301,"4-5(B,D,F,H)",144
981,52,3301,"11(A,C,E,G)",144
983,52,3302,"11(A,C,E,G)",144
984,32,3302,"7(B,D,F,H)",144
1061,1,3300,"2-3(B,D,F,H)",144
110,3,3300,"6-7(A,C,E,G)",144
1175,8,3302,8-9(F),144
1176,8,3301,8-9(F),144
1180,44,3300,"8(A-B,D-E,H) 9(A-B,D,G-H)",144
340,8,3300,"12-13(B,D,F,H)",144
540,1,3300,"4-5(A,C,E,G)",144
852,2,3300,"10-11(B,D,F,H)",144
982,32,3301,"7(B,D,F,H)",144
Senior HR,2,3300,1(A-H),144
717,3,3302,"4-6(A,C,E,G)",148
716,3,3301,"4-6(A,C,E,G)",148
729,3,3300,"2-3(B,D,F,H)",148
110,4,3300,"8-9(A,C,E,G)",148
1176,9,3301,10-11(C),148
345,4,3300,"6-7(B,D,F,H)",148
982,22,3301,"5(B,D,F,H)",148
983,32,3302,"7(A,C,E,G)",148
1175,9,3302,10-11(C),148
252,5,3300,"8-9(B,D,F,H)",148
497,1,3300,"12-13(A,C,E,G)",148
981,32,3301,"7(A,C,E,G)",148
984,22,3302,"5(B,D,F,H)",148
Senior HR,6,3300,1(A-H),148
229,2,3300,"12-13(B,D,F,H)",148
520,2,3300,"2-3(A,C,E,G)",148
928,1,3300,"14(A,C,E,G)",148
223,1,3300,"2-3(A,C,E,G)",149
983,32,3302,"7(A,C,E,G)",149
1061,1,3300,"2-3(B,D,F,H)",149
110,6,3300,"12-13(A,C,E,G)",149
727,1,3301,"4-5(B,D,F,H)",149
922,3,3301,"10-11(A,C,E,G)",149
981,32,3301,"7(A,C,E,G)",149
1089,2,3300,"14(B,D,F,H)",149
340,9,3300,"10-11(B,D,F,H)",149
645,2,3302,"4-5(B,D,F,H)",149
806,1,3300,"14(A,C,E,G)",149
982,32,3301,"7(B,D,F,H)",149
984,32,3302,"7(B,D,F,H)",149
412,4,3300,"8-9(B,D,F,H)",149
1175,3,3302,4-5(E),149
1176,3,3301,4-5(E),149
Senior HR,2,3300,1(A-H),149
1199,82,3300,"4-5(A,C,G)",149
1199,15,3300,"12-13(B,D,F,H)",149
226,1,3300,"2-3(A,C,E,G)",150
340,9,3300,"10-11(B,D,F,H)",150
1175,9,3302,10-11(C),150
1176,9,3301,10-11(C),150
1094,2,3302,"4-5(B,D,F,H)",150
1095,1,3301,"12-13(A,C,E,G)",150
413,1,3300,"6-7(A,C,E,G)",150
521,1,3300,"2-3(B,D,F,H)",150
840,1,3300,"8(A-H) 9(A,C,E,G)",150
981,22,3301,"5(A,C,E,G)",150
982,42,3301,"9(B,D,F,H)",150
984,42,3302,"9(B,D,F,H)",150
110,9,3300,"6-7(B,D,F,H)",150
806,1,3300,"14(A,C,E,G)",150
847,1,3300,"14(B,D,F,H)",150
983,22,3302,"5(A,C,E,G)",150
Senior HR,2,3300,1(A-H),150
1089,1,3300,"14(A,C,E,G)",154
557,2,3302,"4-5(B,D,F,H)",154
727,3,3302,"8-9(B,D,F,H)",154
982,31,3301,"6(B,D,F,H)",154
984,32,3302,"7(B,D,F,H)",154
1175,9,3302,10-11(C),154
645,1,3301,"4-5(B,D,F,H)",154
981,52,3301,"11(A,C,E,G)",154
860,3,3301,"8-9(A,C,E,G)",154
540,4,3300,"12-13(B,D,F,H)",154
983,42,3302,"9(A,C,E,G)",154
110,6,3300,"12-13(A,C,E,G)",154
380,5,3301,"8-9(B,D,F,H)",154
340,2,3300,"6-7(A,C,E,G)",154
1176,10,3301,10-11(D),154
Senior HR,6,3300,1(A-H),154
221,2,3300,"2-3(B,D,F,H)",154
540,3,3300,"8-9(A,C,E,G)",164
557,2,3302,"4-5(B,D,F,H)",164
710,4,3302,"10-11(A,C,E,G)",164
884,1,3302,"12-13(B,D,F,H)",164
645,1,3301,"4-5(B,D,F,H)",164
1176,11,3301,12-13(E),164
110,11,3300,"10-11(B,D,F,H)",164
340,6,3300,"2-3(B,D,F,H)",164
981,32,3301,"7(A,C,E,G)",164
982,32,3301,"7(B,D,F,H)",164
983,32,3302,"7(A,C,E,G)",164
984,32,3302,"7(B,D,F,H)",164
223,1,3300,"2-3(A,C,E,G)",164
714,3,3301,"8-9(B,D,F,H)",164
1175,8,3302,8-9(F),164
922,3,3301,"10-11(A,C,E,G)",164
Senior HR,2,3300,1(A-H),164
1199,14,3300,"4-5(A,C,E,G)",164
1024,2,3301,"10-11(B,D,F,H)",166
110,12,3300,"12-13(B,D,F,H)",166
1176,5,3301,6-7(C),166
223,2,3300,"8-9(B,D,F,H)",166
380,14,3302,"2-3(B,D,F,H)",166
558,2,3302,"8-9(A,C,E,G)",166
644,2,3302,"6-7(A,C,E,G)",166
727,1,3301,"4-5(B,D,F,H)",166
982,32,3301,"7(B,D,F,H)",166
983,22,3302,"5(A,C,E,G)",166
1060,2,3302,"10-11(D,H)",166
1175,6,3302,6-7(D),166
340,4,3300,"10-11(A,C,E,G)",166
494,1,3300,"2-3(A,C,E,G)",166
710,1,3301,"8-9(A,C,E,G)",166
981,22,3301,"5(A,C,E,G)",166
984,22,3302,"5(B,D,F,H)",166
Senior HR,2,3300,1(A-H),166
928,1,3300,"14(A,C,E,G)",166
412,4,3300,"8-9(B,D,F,H)",168
719,4,3302,"10-11(A,C,E,G)",168
110,8,3300,"4-5(B,D,F,H)",168
540,1,3300,"4-5(A,C,E,G)",168
981,42,3301,"9(A,C,E,G)",168
983,42,3302,"9(A,C,E,G)",168
1175,1,3302,2-3(C),168
340,9,3300,"10-11(B,D,F,H)",168
710,3,3301,"10-11(A,C,E,G)",168
847,1,3300,"14(B,D,F,H)",168
